Comments,Unnamed: 1,Unnamed: 2,neg,neu,pos,comp
"The fact that hours before they made palestinians pose with bottle waters and said ""we're not scum"" (which btw they're the ones depriving them of every basic need). At least wait some days or something.",,,0.081,0.919,0.0,-0.4588
US standards of civilization,,,0.0,1.0,0.0,0.0
"This is why the Palestinians in the West Bank must be armed. Instead of arming the people, the so-called âPalestinianâ Authority does israelâs work for them.",,,0.0,0.951,0.049,0.0772
I hate Israel the Nazi regime.,,,0.481,0.519,0.0,-0.5719
"Terrorists have often had young children participate in using explosives and weapons.  They are trained in #Hamas ""summer camps"" to do just that.  It's a sad reality.",,,0.305,0.695,0.0,-0.8779
"Hebron is not occupied, it's under PA.
Israel has 'security responsibility' to arrest people that threat to its country, and cause a risk in engaging terror.

I pity his daugther to have witness it, because her father chose to be a criminal.",,,0.321,0.588,0.091,-0.9022
Well done on the space Truth. Appreciate you,,,0.0,0.413,0.587,0.7269
Thanks!! I appreciate you coming on.,,,0.0,0.327,0.673,0.7339
Great news,,,0.0,0.196,0.804,0.6249
But hamas made me do it ,,,0.0,1.0,0.0,0.0
Toddler among US hostages in Gaza â White House,,,0.0,1.0,0.0,0.0
The White House says that a three-year-old American whose parents were killed by Hamas is among the hostages in Gaza.,,,0.2,0.8,0.0,-0.6705
President Joe Biden raised  the issue of hostages including a toddler,," with a callâ¦""",0.0,1.0,0.0,0.0
i hope he won't get a heartattack or car-/swimmingaccident in the next time,,,0.0,0.775,0.225,0.4404
Palestinians appreciate very much every effort that comes in support of their cause.,,,0.0,0.671,0.329,0.6597
Why is not on our major news outlets????,,,0.0,1.0,0.0,0.0
"Good luck with that, Israel is doing everything by the book.",,,0.0,0.604,0.396,0.7096
"Zionists mocking pro-Palestine protesters. Disgusting behaviour from disgusting people.

#palestine #savepalestine #savegaza #palestina #palestinian #jerusalem #children #israel #alquds #bds #islam #alaqsa #prayforpalestine #gazastrip #turkey #savepalestina #savealaqsa #muslimâ¦",,,0.331,0.669,0.0,-0.886
"Dua 

Mere we can do for Palestine is 
Make Dua
Make Dua for Palestine
It will make our brothers in Palestine victorious

God willing

#PrayForPalestine",,,0.0,0.92,0.08,0.2732
"In memory of more than 10,000 martyrs of the Gaza Strip, a magnificent demonstration was held at Oslo Railway Station by Norwegians #FreePalaestine #PrayForPalestine #GazaUnderAttack #Gaza_Genocide 
",,,0.0,0.813,0.187,0.6486
"Their mosques are being heated under the bombs, they're still not missing any prayers!

Our mosques are being cooled with fans and ACs, and we're still skipping all 5 prayers!
#JummahMubarak #PrayForPalestine",,,0.0,0.924,0.076,0.3553
"Yemen  Stand with Palestine  

#WeStandWithPalestine
#PrayForPalestine
#IsraelisATerorristState",,,0.0,1.0,0.0,0.0
"#Assalamuwalaikum 
A father lost his four children; his world has come to an end. May Allah protect the people of Palestine. Amen  

#freepalestian 
#PrayForPalestine",,,0.089,0.811,0.1,0.0772
"#Hezbollah's anti-ship #missiles, a little remedy for those pesky foreign #warships in the #Mediterranean
#PrayForPalestine #PalestineWillBeFree #Palestine ",,,0.128,0.872,0.0,-0.296
"#AllahHuAkbar
Without a doubt, with courage and bravery, a grenade was thrown into the barrel of the tank, destroying it
#FreePalaestine #PrayForPalestine #GazaUnderAttack #Gaza_Genocide 
",,,0.211,0.609,0.18,-0.2306
"May Allah safeguard the people of Palestine, bless them with strength and resilience, and bring an end to their sufferings
 #PrayForPalestine #DivineProtection
#FreePalaestine 
#FreePalestine 
#WeStandWithPalestine 
#WeStandWithGaza
#FreePalestineFromIsrael",,,0.0,0.736,0.264,0.8225
"Khalid bin al waleed Mosque was completely destroyed by Israeli shelling in khan Younis, Gaza.
#gazaunderattack #palastine 
#prayforgaza #prayforpalestine",,,0.163,0.837,0.0,-0.5413
"Gaza under heavy attack now.
5-11-23

#Palestine #PalestinianLivesMatter #prayforpalestine #gaza #Gazagenocide #IsrealPalestineconflict #PrayForPalestine #IsraelTerrorists #PalestineGenocide #PalestineWar #GazaHospital #IsraelAttack #GazaUnderAttack #GazaUnderSiegeâ¦",,,0.14,0.86,0.0,-0.4767
"More beautiful Zionist talk.
Would you like these people to live in your country?

#palestine #savepalestine #savegaza #palestina #palestinian #jerusalem #children #israel #alquds #bds #islam #alaqsa #prayforpalestine #gazastrip #turkey #savepalestina #savealaqsa #muslimâ¦",,,0.0,0.818,0.182,0.7713
"Are you not entertained enough?

#Palestine #PalestinianLivesMatter #prayforpalestine #gaza #Gazagenocide #IsrealPalestineconflict #PrayForPalestine #IsraelTerrorists #PalestineGenocide #PalestineWar #GazaHospital #IsraelAttack #GazaUnderAttack #GazaUnderSiegeâ¦",,,0.111,0.889,0.0,-0.3089
Highlights from last nights debate: We must condemn the terrorist group of HAMAS! #usa #hamasterrorists #hamaspalestine #palestine #nikkihaley #gop #gopdebate #israel #prayforpalestine #prayforisrael,,,0.266,0.734,0.0,-0.8221
The Quick Story About Israel Actions #FreePalaestine #ISLAM  #prayforpalestine #gazastrip #savepalestina #uk #unitedstates #unitedkingdom #northernireland #london #greatbritian #england #NYC #WashingtonDC #losangeles #sanfrancisco #chicago #longislandcity #Spain #Madrid #Berlin,,,0.0,1.0,0.0,0.0
"Our Patience is nothingâ¦..
#prayforpalestine
#freepalestine",,,0.0,1.0,0.0,0.0
"#AllahHuAkbar

This is spain

#FreePalaestine #PrayForPalestine #GazaUnderAttack #Gaza_Genocide 
@IMshamstrz",,,0.0,1.0,0.0,0.0
"We are minutes away from deathâ: Gazaâs al-Shifa Hospital under attack

#FreePalestineFromIsrael #PrayForPalestine",,,0.205,0.795,0.0,-0.4767
":That was amazing and the real truth - you just nailed it, man. Our prayers are with Gaza and the Palestinian people. #StandWithGaza #PrayForPalestineâ #USA #usataxe",,,0.0,0.79,0.21,0.7269
"TLP Millions March Towards Islamabad. Pro Palestine Protest In Pakistan. Every Body Is So Angry On Israel Attack On Palestine.

#Palestine #PalestinianLivesMatter #prayforpalestine #gaza #Gazagenocide #IsrealPalestineconflict #PrayForPalestine #IsraelTerroristsâ¦",,,0.258,0.742,0.0,-0.8268
"Let us join together in heartfelt prayers for the people of Palestine. May Allah protect them, grant them strength, and bring an end to the injustice they face. 
#PrayForPalestine #JummahMubarak #PeaceForPalestine #FreePalestine 
#FreePalaestine 
#FreePalestineâ¦",,,0.081,0.613,0.306,0.8519
"This little girl is called Julia. She lost her parents in the bombing by Israel in Gaza.

#FreePalestine #IsraelTerroristState #PrayForPalestine 
   #gazaholocust",,,0.103,0.897,0.0,-0.3182
"Philippine human rights campaigner granted bail

#FreePalestineFromIsrael #PrayForPalestine",,,0.0,0.778,0.222,0.25
"Day 1150: I thought it was a high number but it is 9,150 less than the number murdered in #Gaza #Palestine since 7 October! #100daysofwalking #200DaysOfWalking #drogheda #PrayForGaza #PrayForPalestine #300daysofwalking #CeasefireForGaza",,,0.188,0.735,0.076,-0.7777
"We keep that winning feeling ! 
Letâs continue the good work

#FreePalestineFromIsrael #PrayForPalestine",,,0.0,0.527,0.473,0.7959
"#Assalamuwalaikum   

#freepalestian 
#PrayForPalestine",,,0.0,1.0,0.0,0.0
"Powerful words and great resilience from the Gaza resident, Abu Osama Daher, after his wife and all his children became martyrs in the Zionist Israeli bombing in the northern Gaza Strip today.",,,0.0,0.813,0.187,0.7845
"#PrayForPalestine #StopGenocidelnGaza""",,,0.0,1.0,0.0,0.0
Julia (3 years old) lost her only family to an Israeli bombing  O God Allah Almighty Please help Palastinians Gaza's people Ameen  #StopGenocideOfPalestinians #StopGenocideInGaza #PrayForPalestine #PrayForGaza,,,0.076,0.691,0.234,0.5859
"What is the Khalistan movement? How is it linked to India-Canada tensions?

#FreePalestineFromIsrael #PrayForPalestine #PrayForGhaza #PrayForPeace",,,0.169,0.831,0.0,-0.4696
"Gaza has been asked to choose between ethnic cleansing and genocideâ¦

#palestine #savepalestine #savegaza #palestina #palestinian #jerusalem #children #israel #alquds #bds #islam #alaqsa #prayforpalestine #gazastrip #turkey #savepalestina #savealaqsa #muslim #humanrightsâ¦",,,0.0,1.0,0.0,0.0
"Bantuan Kesehatan dan Alat Medis untuk Palestina alhamdulillah telah tersalurkan pada hari Kamis, 9 November 2023. Bantuan ini diberikan ke Pusat Kesehatan Syuhada Jabaliya, Gaza Utara berupa 1 unit alat bantu kesehatan dan 30 paket kebutuhan medis.
#prayforpalestine",,,0.0,1.0,0.0,0.0
"Many Palestinians continue to struggle for survival due to limited access to basic necessities.


#PrayforPalestine 
#Palestine #Gaza #PrayForPalestine #Pakistan #Alkhidmat",,,0.189,0.811,0.0,-0.4939
"Dumbass Zionist propaganda and lies debunked again. This time by 
@AJEnglish
 

#palestine #savepalestine #savegaza #palestina #palestinian #jerusalem #children #israel #alquds #bds #islam #alaqsa #prayforpalestine #gazastrip #turkey #savepalestina #savealaqsa #muslim #humanrightsâ¦",,,0.237,0.763,0.0,-0.8126
"Breaking...

#Palestine #PalestinianLivesMatter #prayforpalestine #gaza #Gazagenocide #IsrealPalestineconflict #PrayForPalestine #IsraelTerrorists #PalestineGenocide #PalestineWar #GazaHospital #IsraelAttack #GazaUnderAttack #GazaUnderSiege #CeasefireForGazaNOW",,,0.0,1.0,0.0,0.0
Manipulation of media narratives in the Israeli-Palestinian conflict #FreeGazaNow #FreePalaestin #PrayForPeace #PrayForPalestine,,,0.31,0.69,0.0,-0.5423
"#AsslamuAllekum  may Allah be pleased with him.
Abu Ubaidah reiterated the statement of Khalid bin Walid",,,0.0,0.838,0.162,0.4404
"By God! I have brought to you people who love death just as you love life. Insha'Allah  Allah will surely grant success one day.'""",,,0.098,0.402,0.5,0.9432
"#FreePalaestine #PrayForPalestine  #Gaza_Genocide""",,,0.0,1.0,0.0,0.0
" #StandWithPalestine  We mourn the loss of many brothers and sisters to acts of terrorism. Together, let's strive for peace and justice. 
Do you know who the real terrorists are?   Everyone know them Occupier
#PrayForPalestine #EndViolence ",,,0.278,0.584,0.139,-0.7845
"In Jakarta, people are enthusiastic about #PrayForPalestine",,,0.0,0.652,0.348,0.4939
This is Reality.    #PrayForPalestine,,,0.0,1.0,0.0,0.0
"Local sources
Armed clashes broke out around the Balata camp, east of Nablus. #prayforpalestine #GazaGenoside #IsraelTerorrist #IsraelNewNazisim",,,0.149,0.851,0.0,-0.4215
"Written on our college whiteboard 
#FreePalaestine #PrayForPalestine",,,0.0,1.0,0.0,0.0
"Palestinians valiantly stand for their faith and strive to protect Islam, reaching out their hand for our crucial support.


#PrayforPalestine 
#Palestine #Gaza #PrayForPalestine",,,0.0,0.579,0.421,0.9022
"O Allah, strengthen the defense of the Palestinian fighters against their enemies (Zionist Israel and its allies).

O Allah, help the Palestinian fighters and grant them victory over their enemies.",,,0.233,0.529,0.238,0.0516
"#WeStandWithPalestine #FreePalestine #PrayForPalestine""",,,0.0,1.0,0.0,0.0
"Listening to this 

#FreePalaestin #FreePalaestine #FreePalestineFormZionist #PrayForGaza #PrayForPalestine",,,0.0,1.0,0.0,0.0
" Heartbreaking to see the destruction in Palestine. Let's stand together and pray for peace, justice, and support for the affected. May Allah bring relief to those in need.  #PrayForPalestine #PeaceAndJustice
 #Gaza_Geniocide 
#CeasefireInGazaNOW 
#Survivor",,,0.172,0.518,0.311,0.7717
#freepalestian ,,,0.0,1.0,0.0,0.0
"#PrayForPalestine""",,,0.0,1.0,0.0,0.0
"Oh Palestine, you are in our hearts and prayers. ""Our Lord, pour upon us patience and plant firmly our feet and give us victory over the disbelieving people."" Quran, 2:250 #FreePalestine #SaveGaza #PrayForPalestine",,,0.0,1.0,0.0,0.0
"This is an example of how to destroy your life in a blink of eyes.

May Allah help them 

#PrayForPalestine  https://twitter.com/missfalasteenia/status/1723095857984049381â¦",,,0.145,0.744,0.112,-0.2023
"The last hug
from the river to the sea,Palestine will be free

Free free Palestine free free plaestine 

#palestine #freepalestine #istandwithpalestine #freepalestine #istandwithpalestine #palestinewillbefree #palestineunderattack #prayforpalestine #gaza #gazaunderattack",,,0.0,0.529,0.471,0.9618
"A man is seen pulling a cart to transfer injuries to hospital in khan Younis, southern Gaza city. 5.11.23 
#freepalestine #freepalestine #gaza #palestine #freegaza #prayforgaza #prayforpalestine #savegaza #staywithpalestine",,,0.0,1.0,0.0,0.0
#gaza #PrayForPalestine #FreePalestine #FreePalestin #motaz_azaiza #GazaHolocaust #Gaza_Geniocide #Ø£Ø¨ÙØ¹Ø¨ÙØ¯Ø© #Ø§ÙØ§ØªØ­Ø§Ø¯_Ø§Ø¨ÙØ§ #Trending,,,0.0,1.0,0.0,0.0
Don't stop talking about PALESTINE #palestinegenocide #freepalestine #palestinewillbefree #prayforpalestine,,,0.0,0.809,0.191,0.2235
"More than two million Indonesians gathered at Monas,Jakarta this morning to pray together and show their support for Palestine.
Presiden Joko Widodo
#SavePalestine
#HelpPalestine
#PrayForPalestine
#WeStandWithPalestine",,,0.0,0.828,0.172,0.6124
"CALL FOR CEASEFIRE NOW
#ceasefirenow #PrayForPalestine",,,0.0,1.0,0.0,0.0
This is Indonesia for PALESTINE #savepalestine #indonesiastandwithpalestine #palestinewillbefree #PrayForPalestine #palestinevictory,,,0.0,1.0,0.0,0.0
#stopgenocide #stopkillingkids #prayforpalestine #freepalestine  From Indonesia ,,,0.0,1.0,0.0,0.0
"The Alkhidmat Foundation Woman Wing is endeavoring to provide essential supplies to the people of Gaza.

#PrayforPalestine 
#Palestine #Gaza #PrayForPalestine #Pakistan #Alkhidmat",,,0.0,1.0,0.0,0.0
"May Allah swt send His Greatest help to the people of #Gaza. May Allah swt grant victory to the #Palestineans, May Allah swt protects all of you. Aamiin ya Rabbal Alamiin #prayforGaza #prayforPalestine #FreePalestine #CeaseFireInGaza #CeasefireNOW #solidaritywithpalestine",,,0.0,0.738,0.262,0.8934
"Good morning. May Allah bless you with health and prosperity on this day.#Azaan #Prayer #Namaz #Muslims #PrayForPalestine #PrayForGazan #gaza #bycottIsrealProducts #bycott_isreal_products #bycott #bycottmacdonald #ALQuran
#Hadees Nabvi
#Farman_E_Ilahi
#urdu #",,,0.0,0.82,0.18,0.6908
"Its ccrazy to think how the people that got bullied by Hitler, are now the bullies. At one point they were begging for peace and now they couldnt care less about it, the world is a shambles, #PrayForPalestine",,,0.152,0.769,0.079,-0.4986
"#FreePalestineNow 
#PalestineUnderAttack
#PalestineGenocide 
#PalestineHolocaust 
#PrayForPalestine
A gift from Indonesia for our brothers and sisters, the guardians and defenders of the land of Syria, Palestine. 'With our souls, with our blood, we sacrifice for you, O Aqsa,,,,,,,,,,,,,,
Israel is a TERRORIST STATE ",,,0.122,0.784,0.094,-0.4995
#IsraelisATerorristState ,,,0.0,1.0,0.0,0.0
#FreePalaestine ,,,0.0,1.0,0.0,0.0
#FreeGazaNow ,,,0.0,1.0,0.0,0.0
"#PrayForPalestine""",,,0.0,1.0,0.0,0.0
"Only to Him we seek
Only Him who guides

#blessed
#PrayForPalestine
#FreePalestine",,,0.0,1.0,0.0,0.0
"Words canât evenâ¦â¦â¦ 

#Palestine #PalestinianLivesMatter #prayforpalestine #gaza #Gazagenocide #IsrealPalestineconflict #PrayForPalestine #IsraelTerrorists #PalestineGenocide
#PalestineWar #GazaHospital #IsraelAttack #GazaUnderAttack #GazaUnderSiege #CeasefireForGazaNOW",,,0.0,1.0,0.0,0.0
"Pakistan has not given Ukraine, which is at war with Russia, any weapons, and it has no intention of doing so.
#ukraine #palestine #PrayForPalestine #IsraeliCrimes #RussiaWar",,,0.281,0.719,0.0,-0.8402
"Despite the prevalence of playing games, Palestinian children contend with dire circumstances and a constant battle for survival.

#Palestine #Gaza #PrayForPalestine #Pakistan",,,0.219,0.664,0.117,-0.5574
"#AsslamuAllekum
#GoodMorningTwitterWorld 
Do you not know that the sovereignty of the earth and the heavens is for Allah alone, and besides Allah, there is no one else worthy of your devotion and help? #Quran 2/107 #FreePalaestine #PrayForPalestine #GazaUnderAttack #Gaza_Genocide #Shams_T",,,0.085,0.687,0.228,0.7964
This video broke me tonight. We never know kan how our life could inspire/affect other people. Lagi2 kalau mmg kita pempengaruh. This is really really sad  #PrayForPalestine,,,0.206,0.794,0.0,-0.7559
Hope the other leaders also wake up. #PrayForPalestine,,,0.0,0.707,0.293,0.4404
The  is with Palestine. But some of our pretentious muslim brothers are acting weird #prayforPalestine,,,0.128,0.872,0.0,-0.2617
"Alkhidmat Foundation's Woman's Wing bringing hope to the people of  Gaza, one blanket bring children's smile light up their darkest days.
601-5
#Palestine #Gaza #PrayForPalestine #Pakistan #Alkhidmat",,,0.098,0.736,0.166,0.296
Sending prayers and hope for peace to the people of Gaza and Palestine.  #PrayForGaza #PrayForPalestine,,,0.0,0.67,0.33,0.7506
"Make dua for our brothers and sisters of Palestine 
#FreePalestine 
#PrayForPalestine
#FreePalaestine 
#FreePalestine 
#WeStandWithPalestine 
#WeStandWithGaza",,,0.0,1.0,0.0,0.0
Sending prayers and hope for peace to the people of Gaza and Palestine.  #PrayForGaza #PrayForPalestine,,,0.0,0.67,0.33,0.7506
"Make dua for our brothers and sisters of Palestine 
#FreePalestine 
#PrayForPalestine
#FreePalaestine 
#FreePalestine 
#WeStandWithPalestine 
#WeStandWithGaza",,,0.0,1.0,0.0,0.0
Ayeza Khan responds to criticism over Palestine post #AyezaKhan #CelebrityNews #PrayforPalestine https://oyeyeah.com/celebrity/ayeza-khan-responds-to-criticism-over-palestine-post/â¦,,,0.209,0.791,0.0,-0.4404
"Pray for palestine

#PrayForPalestine",,,0.0,0.566,0.434,0.3182
Ayeza Khan responds to criticism over Palestine post #AyezaKhan #CelebrityNews #PrayforPalestine https://oyeyeah.com/celebrity/ayeza-khan-responds-to-criticism-over-palestine-post/â¦,,,0.209,0.791,0.0,-0.4404
"Pray for palestine

#PrayForPalestine",,,0.0,0.566,0.434,0.3182
"Let no one seduce you with vain thoughts; it is precisely these things that kindle the anger of God against rebellious men


#PalestineGenocide 
#PrayForPalestine",,,0.341,0.594,0.066,-0.8316
"#AllahHuAkbar
#AllahHuAkbar
.
#FreePalaestine #PrayForPalestine #GazaUnderAttack #Gaza_Genocide 
@IMshamstrz",,,0.0,1.0,0.0,0.0
"A victim of #Ä±sraelTerrorists.

#Palestine #PalestinianLivesMatter #prayforpalestine #gaza #Gazagenocide #IsrealPalestineconflict #PrayForPalestine #IsraelTerrorists #PalestineGenocide #PalestineWar #GazaHospital #IsraelAttack #GazaUnderAttack #GazaUnderSiege #CeasefireForGazaNOW",,,0.11,0.89,0.0,-0.2732
"#Hezbollah's anti-ship #missiles, a little remedy for those pesky foreign #warships in the #Mediterranean
#PrayForPalestine #PalestineWillBeFree #Palestine ",,,0.128,0.872,0.0,-0.296
"Their mosques are being heated under the bombs, they're still not missing any prayers!

Our mosques are being cooled with fans and ACs, and we're still skipping all 5 prayers!
#JummahMubarak #PrayForPalestine",,,0.0,0.924,0.076,0.3553
"#FreePalaestine
#FreePalaestine 
#PrayForPalestine
@IMshamstrz",,,0.0,1.0,0.0,0.0
#freepalestian ,,,0.0,1.0,0.0,0.0
"#PrayForPalestine""",,,0.0,1.0,0.0,0.0
"The bombings near the Indonesian Hospital in Gaza are a tragic reminder of the devastating impact of war. Innocent lives lost, families shattered. 
And still Israel calls it self defence.
#CeasefireInGazaNOW #PrayForGaza 
 #PrayForPalestine #PeaceAndJustice
 #Gaza_Geniocideâ¦",,,0.35,0.57,0.08,-0.93
"The whole of America and Europe should stand behind the Israelis, victory or martyrdom is the only way for us, #Abu_Ubaida

 #FreePalestine #PrayForPalestine #Gaza #Gaza_Genocide #GazaHolocaust #Loki #Bitcoin #BANGYEDAM #Ethereum #SaraAliKhan #goldprice #Bhakts #Omegle #Gaza",,,0.0,1.0,0.0,0.0
"The sky of #Gaza is illuminated by flash #BOMBs dropped by the occupation #IsraelisaGenocidalState #IsraelTerrorists #FreePalestineNow 
#Prayforgaza
#PrayForPalestine 
#AlAqsaFlood 
#AlAqsaNeedsAyubi",,,0.0,1.0,0.0,0.0
"#AllahHuAkbar
You cannot defeat such a nation that never accepts defeat
#FreePalaestine #PrayForPalestine #GazaUnderAttack #Gaza_Genocide 
@IMshamstrz",,,0.104,0.634,0.262,0.4585
"#AllahHuAkbar
Unbelievable confidence, bravery, daring - a grenade was thrown into the barrel of the tank, destroying it
#FreePalaestine #PrayForPalestine #GazaUnderAttack #Gaza_Genocide 
",,,0.122,0.51,0.367,0.7351
"We are minutes away from deathâ: Gazaâs al-Shifa Hospital under attack

#FreePalestineFromIsrael #PrayForPalestine",,,0.205,0.795,0.0,-0.4767
